Mg,Al,Si,S,K,Ca,Fe,C,O,labels,x,y
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2804878048780488,0.009316770186335404,1.0,1,0
0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.2804878048780488,0.009316770186335404,1.0,2,0
0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.2804878048780488,0.006211180124223602,1.0,3,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.32926829268292684,0.012422360248447204,1.0,4,0
0.0,0.0,0.015151515151515152,0.0,0.0,0.02702702702702703,0.007042253521126761,0.29268292682926833,0.018633540372670808,1.0,5,0
0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.014084507042253521,0.32926829268292684,0.021739130434782608,1.0,6,0
0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.007042253521126761,0.3170731707317073,0.018633540372670808,1.0,7,0
0.0,0.0,0.015151515151515152,0.0,0.0,0.0,0.014084507042253521,0.3536585365853659,0.018633540372670808,1.0,8,0
0.0,0.0,0.015151515151515152,0.0078125,0.0,0.0,0.014084507042253521,0.36585365853658536,0.018633540372670808,1.0,9,0
0.0,0.020833333333333332,0.020202020202020204,0.015625,0.25,0.0,0.014084507042253521,0.43902439024390244,0.021739130434782608,1.0,10,0
0.0136986301369863,0.020833333333333332,0.020202020202020204,0.015625,0.25,0.02702702702702703,0.02112676056338028,0.6097560975609756,0.03105590062111801,1.0,11,0
0.0136986301369863,0.041666666666666664,0.020202020202020204,0.015625,0.125,0.02702702702702703,0.02112676056338028,0.6829268292682927,0.05279503105590062,1.0,12,0
0.0136986301369863,0.041666666666666664,0.025252525252525256,0.015625,0.125,0.02702702702702703,0.02112676056338028,0.7073170731707318,0.07763975155279502,1.0,13,0
0.0136986301369863,0.041666666666666664,0.025252525252525256,0.015625,0.125,0.10810810810810811,0.028169014084507043,0.7073170731707318,0.07763975155279502,1.0,14,0
0.00684931506849315,0.041666666666666664,0.025252525252525256,0.015625,0.125,0.10810810810810811,0.035211267605633804,0.7926829268292683,0.07763975155279502,1.0,15,0
0.00684931506849315,0.041666666666666664,0.025252525252525256,0.0,0.125,0.05405405405405406,0.028169014084507043,0.8170731707317074,0.08074534161490683,1.0,16,0
0.00684931506849315,0.041666666666666664,0.010101010101010102,0.0,0.5,0.05405405405405406,0.02112676056338028,0.8414634146341464,0.08385093167701863,1.0,17,0
0.0136986301369863,0.020833333333333332,0.010101010101010102,0.015625,0.25,0.05405405405405406,0.02112676056338028,0.7804878048780488,0.08385093167701863,1.0,18,0
0.0136986301369863,0.020833333333333332,0.010101010101010102,0.0234375,0.25,0.05405405405405406,0.035211267605633804,0.7804878048780488,0.08695652173913043,1.0,19,0
0.00684931506849315,0.020833333333333332,0.010101010101010102,0.015625,0.125,0.08108108108108109,0.04225352112676056,0.7317073170731707,0.08695652173913043,1.0,20,0
0.00684931506849315,0.041666666666666664,0.010101010101010102,0.0234375,0.375,0.10810810810810811,0.04225352112676056,0.6097560975609756,0.08695652173913043,1.0,21,0
0.00684931506849315,0.0625,0.030303030303030304,0.0390625,0.375,0.10810810810810811,0.07042253521126761,0.34146341463414637,0.09316770186335403,1.0,22,0
0.0136986301369863,0.1875,0.08585858585858587,0.0390625,0.5,0.10810810810810811,0.07746478873239437,0.24390243902439024,0.13975155279503104,1.0,23,0
0.0547945205479452,0.29166666666666663,0.18181818181818182,0.0234375,0.5,0.10810810810810811,0.04929577464788733,0.18292682926829268,0.19565217391304346,1.0,24,0
0.07534246575342465,0.041666666666666664,0.06060606060606061,0.0078125,0.375,0.05405405405405406,0.04225352112676056,0.18292682926829268,0.07453416149068323,1.0,25,0
0.02054794520547945,0.041666666666666664,0.030303030303030304,0.0078125,0.25,0.05405405405405406,0.014084507042253521,0.21951219512195122,0.046583850931677016,1.0,26,0
0.02054794520547945,0.041666666666666664,0.030303030303030304,0.0,0.125,0.02702702702702703,0.014084507042253521,0.18292682926829268,0.046583850931677016,1.0,27,0
0.06164383561643835,0.041666666666666664,0.05050505050505051,0.0,0.125,0.02702702702702703,0.014084507042253521,0.17073170731707318,0.05900621118012422,1.0,28,0
0.06164383561643835,0.0,0.10101010101010102,0.015625,0.25,0.02702702702702703,0.035211267605633804,0.14634146341463417,0.07763975155279502,1.0,29,0
0.1780821917808219,0.041666666666666664,0.11111111111111112,0.0234375,0.375,0.08108108108108109,0.04225352112676056,0.14634146341463417,0.18322981366459626,1.0,30,0
0.22602739726027396,0.041666666666666664,0.2474747474747475,0.0234375,0.5,0.13513513513513514,0.056338028169014086,0.14634146341463417,0.2546583850931677,1.0,31,0
0.23972602739726026,0.041666666666666664,0.2878787878787879,0.0234375,0.625,0.16216216216216217,0.09859154929577466,0.20731707317073172,0.2670807453416149,1.0,32,0
0.273972602739726,0.041666666666666664,0.3434343434343435,0.046875,0.625,0.16216216216216217,0.09154929577464789,0.20731707317073172,0.2826086956521739,1.0,33,0
0.273972602739726,0.08333333333333333,0.2878787878787879,0.046875,0.75,0.32432432432432434,0.11267605633802817,0.20731707317073172,0.2670807453416149,1.0,34,0
0.0136986301369863,0.0,0.03535353535353536,0.015625,0.125,0.05405405405405406,0.02112676056338028,0.21951219512195122,0.043478260869565216,1.0,35,0
0.00684931506849315,0.0,0.010101010101010102,0.0,0.0,0.05405405405405406,0.007042253521126761,0.17073170731707318,0.009316770186335404,1.0,36,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.21951219512195122,0.009316770186335404,1.0,37,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.23170731707317074,0.009316770186335404,1.0,38,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.24390243902439024,0.012422360248447204,1.0,39,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.25609756097560976,0.006211180124223602,1.0,40,0
0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.29268292682926833,0.006211180124223602,1.0,41,0
0.00684931506849315,0.0,0.0,0.0,0.0,0.0,0.0,0.3170731707317073,0.012422360248447204,1.0,42,0
0.0,0.0,0.0,0.0,0.125,0.0,0.0,0.2804878048780488,0.015527950310559004,1.0,43,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.0,0.3170731707317073,0.009316770186335404,1.0,44,0
0.0,0.0,0.005050505050505051,0.0,0.0,0.0,0.007042253521126761,0.3170731707317073,0.009316770186335404,1.0,45,0
0.0,0.0,0.0,0.0078125,0.0,0.0,0.007042253521126761,0.24390243902439024,0.009316770186335404,1.0,46,0
0.0,0.0,0.0,0.0,0.0,0.0,0.007042253521126761,0.23170731707317074,0.012422360248447204,1.0,47,0
0.0,0.020833333333333332,0.0,0.0,0.0,0.0,0.0,0.23170731707317074,0.015527950310559004,1.0,48,0
